Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
4168, 885.859800, 463.027350, 761.034450, 410.013950, 395.312150
4169, 761.018800, 399.886800, 636.967700, 408.859750, 330.276450
4170, 762.747100, 397.006150, 638.067650, 411.718050, 331.031750
4171, 635.542650, 332.253600, 639.154150, 409.077650, 329.209600
4172, 761.932000, 399.920950, 636.813950, 492.958200, 349.664450
4173, 760.725200, 401.635100, 637.544000, 406.427600, 332.291150
4174, 771.500650, 391.159600, 645.231950, 409.151250, 325.818550
4175, 766.253700, 398.084900, 640.399500, 406.218800, 327.995800
4176, 634.614900, 331.762200, 636.613250, 409.640300, 328.564000
4177, 760.324500, 402.117800, 636.596750, 406.583400, 330.594250
4178, 764.634050, 396.374100, 639.920300, 406.027250, 330.382450
4179, 765.256900, 398.637800, 640.525500, 415.500050, 333.206200
4180, 762.913400, 401.438900, 639.077250, 406.907800, 331.379150
4181, 766.102800, 398.094400, 642.078550, 409.067050, 330.904150
4182, 766.851450, 396.350150, 641.850800, 493.863400, 329.193650
4183, 896.069200, 470.475100, 641.860850, 494.012500, 381.171450
4184, 773.269600, 401.896000, 647.413850, 408.537150, 335.104500
4185, 771.599750, 396.484350, 645.783000, 411.010600, 330.287200
4186, 891.656400, 466.921100, 765.836000, 412.645350, 388.030650
4187, 773.032350, 404.070900, 646.149900, 410.060750, 334.080100
4188, 898.102300, 469.658800, 645.442150, 494.226200, 344.199500
4189, 773.100200, 406.618550, 649.843300, 413.062950, 336.293500
4190, 770.288750, 401.633450, 643.597200, 412.977800, 397.402450
4191, 772.817500, 399.176750, 772.953100, 412.207600, 337.529200
4192, 769.800900, 395.379250, 768.948850, 409.422300, 326.582150
4193, 767.135050, 400.834700, 640.332000, 414.423650, 332.923750
4194, 895.324900, 473.786450, 769.690400, 495.993050, 392.161750
4195, 771.724950, 401.439450, 643.379750, 416.941000, 333.442500
4196, 770.376850, 400.700450, 642.706300, 416.552350, 331.833900
4197, 767.622150, 400.629700, 768.949350, 413.480550, 336.150350
4198, 772.020450, 404.865050, 775.659900, 415.857350, 341.855700
4199, 776.957950, 400.274800, 776.003600, 412.754100, 370.698500
4200, 773.020550, 399.351450, 647.223800, 415.256700, 332.453150
4201, 644.392050, 342.084500, 646.565550, 410.394200, 336.541400
4202, 644.539350, 334.874550, 645.442350, 416.049750, 333.778800
4203, 774.170700, 402.628050, 646.110750, 416.568650, 331.290450
4204, 772.618750, 405.735900, 646.214850, 496.446250, 335.232000
4205, 776.881800, 404.136550, 647.359100, 417.150850, 334.477600
4206, 777.988100, 407.532550, 775.410750, 420.644550, 376.729400
4207, 772.606750, 405.405900, 643.954800, 412.873150, 378.699850
4208, 773.473050, 403.999050, 647.744750, 417.286350, 339.925300
4209, 774.135400, 404.369200, 646.855100, 422.331900, 339.801400
4210, 775.984000, 403.202050, 647.328600, 421.210950, 348.029400
4211, 774.699400, 404.149100, 647.466550, 416.967100, 347.733150
4212, 773.745600, 407.150700, 644.621200, 417.357350, 339.044900
4213, 774.644400, 404.479400, 646.797500, 416.081900, 336.292850
4214, 780.901850, 406.628150, 781.703200, 417.721550, 379.833050
4215, 774.089550, 406.989350, 776.171150, 497.983550, 336.961250
4216, 786.226600, 401.706900, 658.150150, 415.030450, 336.066250
4217, 776.801050, 403.122700, 649.769600, 426.415450, 332.035250
4218, 777.333350, 404.725400, 649.600450, 421.767000, 334.709500
4219, 785.310550, 405.989150, 655.062950, 419.405400, 337.051700
4220, 776.671850, 405.091500, 647.914800, 424.055550, 350.321900
4221, 777.561250, 410.303700, 650.095700, 416.995650, 347.562900
4222, 789.993450, 412.859800, 660.735550, 421.590600, 346.033600
4223, 791.541700, 416.908250, 665.332000, 426.142200, 349.848000
4224, 786.897000, 403.307450, 657.166300, 422.048950, 337.188700
4225, 783.068150, 409.739400, 654.107750, 418.120600, 349.203250
4226, 781.369500, 411.340400, 652.320900, 419.756650, 342.073200
4227, 652.441800, 338.829850, 653.581850, 425.282150, 337.498350
4228, 782.422950, 408.625300, 652.970600, 419.398800, 338.959750
4229, 787.573800, 408.862050, 658.278900, 417.261050, 339.747800
4230, 785.090100, 409.772950, 653.706350, 412.692350, 339.260200
4231, 782.339550, 408.738300, 654.119500, 425.775900, 339.404200
4232, 914.895600, 481.818950, 784.966450, 419.569150, 397.529200
4233, 786.086600, 411.449950, 656.573000, 515.408750, 341.581250
4234, 784.961000, 408.796250, 655.724000, 419.892700, 340.133700
4235, 786.281450, 410.488750, 658.779400, 505.640150, 344.276650
4236, 787.409500, 415.623650, 656.786050, 422.065900, 343.476350
4237, 782.424200, 409.869700, 783.989100, 422.684150, 340.797750
4238, 785.245550, 413.838800, 658.152250, 426.899400, 341.025900
4239, 660.346850, 341.548650, 661.370200, 425.764100, 339.398550
4240, 782.630900, 407.821450, 652.923400, 424.739850, 339.617250
4241, 787.237500, 411.034900, 656.428000, 424.855750, 340.825100
4242, 783.948250, 411.467550, 656.287100, 424.952400, 338.462400
4243, 792.337500, 409.414800, 664.072950, 426.337400, 356.399700
4244, 921.478500, 476.714050, 790.447750, 422.729150, 392.950800
4245, 785.787650, 415.902350, 656.794800, 422.121800, 343.905500
4246, 785.830850, 415.518100, 657.767600, 423.904650, 341.017600
4247, 797.155750, 408.688600, 667.249800, 422.350650, 341.452850
4248, 789.386200, 410.618500, 660.431700, 424.894650, 340.995200
4249, 788.891350, 415.157050, 660.393900, 420.990900, 401.925750
4250, 793.447750, 413.633050, 793.343200, 426.773600, 343.197200
4251, 793.802400, 416.855150, 663.572400, 431.212200, 370.603200
